,ID_VANO,RECONSTRUCCION,FLAG,NUM_CONDUCTORES,NUM_CONDUCTORES_FIABLE,CONFIG_CONDUCTORES,COMPLETITUD,PUNTUACION_APRIORI,PUNTUACION_APOSTERIORI
0,G_13578462_13689863,Posible,good_fit,3,True,0,full,9.237791894160281,5.714531376127932
5,G_13578307_13578514,Posible,good_fit,3,False,0,partially incomplete,8.59060707398587,3.7142830976054193
6,G_13578498_13578512,Posible,good_fit,3,True,0,full,9.973676138310708,9.98627814655683
7,G_13578435_13578450,Posible,good_fit,3,True,0,full,9.400094472716344,9.962262907921255
8,G_13578338_13578340,Posible,good_fit,3,True,0,full,9.249081794743535,9.977927901484417
9,G_13578470_13578521,Posible,good_fit,3,True,0,full,8.96047703725441,9.980849980057517
10,G_13578475_13578503,Posible,good_fit,3,True,0,full,9.302740593985202,9.695746790463652
16,G_13578445_13578497,Posible,good_fit,3,True,0,full,9.882654941032579,9.981924709472118
17,G_13578298_13578310,Posible,good_fit,3,True,0,full,9.890359529721804,9.96339511493923
18,G_13578331_13578405,Posible,good_fit,3,True,0,full,9.788578179996627,9.871513675495327
19,G_13576769_13576858,Posible,no_polilineas,3,True,1,partially incomplete,4.201640958067235,5.500898640322016
20,G_13578278_13578317,Posible,good_fit,3,True,0,full,9.116193720155664,9.425360155852534
21,G_13578309_13578415,Posible,good_fit,3,True,0,full,9.371275129534283,9.383727146489308
22,G_13578299_13578463,Posible,good_fit,3,True,0,full,9.539704833022542,9.926200976893128
23,G_13578374_13578463,Posible,found_empty_polis,3,True,0,full,10.795629601114628,9.989609395124026
27,G_13578282_13578382,Posible,good_fit,3,True,0,partially incomplete,9.409137139243626,9.838357912882588
28,G_13578407_13578444,Posible,good_fit,3,True,0,partially incomplete,8.710381461512554,9.879487931289017
29,G_13578394_13578435,Posible,good_fit,3,True,0,full,9.362395200844855,9.962355495740889
30,G_13578301_13578439,Posible,good_fit,3,True,0,partially incomplete,9.751986268111944,9.894081595840664
31,G_13578311_13578407,Posible,found_empty_polis,3,True,0,partially incomplete,9.656590876562518,9.878044321654272
32,G_13578376_13578412,Posible,good_fit,3,True,0,full,9.860026048963991,8.624901537698229
34,G_13578445_13578523,Posible,good_fit,3,True,0,full,9.220222467573064,9.981499803945791
35,G_13578457_13578461,Posible,good_fit,3,True,0,full,9.123312613584178,5.5386657813581
36,G_13578350_13578460,Posible,good_fit,3,True,0,full,9.872493190134303,5.699614169920654
37,G_13578381_13578405,Posible,no_polilineas,3,True,0,partially incomplete,3.1876107648438405,1.4695823568567192
38,G_13578336_13578432,Posible,good_fit,3,True,0,full,9.12071378259127,8.272522042581125
39,G_13578391_13578409,Posible,good_fit,3,True,0,partially incomplete,9.113862262749558,7.176431619600929
40,G_13578400_13578433,Posible,good_fit,3,False,0,full,8.791116780186254,9.399768721464955
41,G_13578317_13578332,Posible,good_fit,3,True,0,full,9.114933886691633,9.91763593802661
42,G_13578374_13578375,Posible,good_fit,3,True,0,partially incomplete,9.906338699352489,9.574549510920685
46,G_13578334_13578477,Posible,good_fit,3,True,0,partially incomplete,7.596316776232873,9.982475211123663
47,G_13578302_13578473,Posible,good_fit,3,True,0,full,9.358787037428359,9.94096019385019
48,G_13578301_13578500,Posible,good_fit,3,True,0,full,9.395173348321288,9.893016118203004
49,G_13576829_13576866,Posible,found_empty_polis,3,True,0,full,9.806881797687465,3.7799501007313023
53,G_13578523_13578527,Posible,good_fit,3,True,0,full,8.984352747300415,9.905608847083398
54,G_13578320_13578341,Posible,good_fit,3,True,0,partially incomplete,8.479975035829478,8.582701974944154
55,G_13578387_13578433,Posible,good_fit,3,True,0,full,9.894391013320908,9.168906571274174
56,G_13578309_13578348,Posible,good_fit,3,True,0,partially incomplete,9.975602235608203,9.054732880561344
57,G_13578279_13578295,Posible,good_fit,3,True,0,full,9.849096145315176,9.891933387689498
60,G_13578299_13578417,Posible,good_fit,3,True,0,full,9.251986601596059,9.988873306047552
62,G_13563638_13578462,Posible,good_fit,3,True,1,full,9.872807870210359,5.282568061040122
64,G_13578384_13578451,Posible,good_fit,3,True,0,full,9.316484290834778,9.989636939830442
65,G_13578403_13578500,Posible,good_fit,3,True,0,full,9.413645317407008,9.941082329925102
66,G_13578376_13578516,Posible,good_fit,3,True,0,full,9.322536975428676,9.984663693330143
69,G_13578396_13578483,Posible,good_fit,3,True,1,full,9.76636893818262,4.870481429869004
70,G_13578452_13578480,Posible,good_fit,3,True,0,full,8.94402317418961,4.097962981087173
71,G_13578337_13578377,Posible,good_fit,3,True,0,full,9.287439758476884,9.272564854859846
72,G_13578393_13578412,Posible,good_fit,3,True,0,full,9.270143123401526,4.994572928583879
73,G_13578372_13578476,Posible,good_fit,3,True,0,full,9.051960572024765,9.979246440945573
74,G_13578388_13578466,Posible,good_fit,3,True,0,full,9.287485983742025,9.843361449109297
76,G_13578431_13578442,Posible,good_fit,3,True,0,partially incomplete,7.496024791383125,9.954050089471586
77,G_13578289_13578477,Posible,good_fit,3,True,0,full,9.90662217707446,9.989333672512728
78,G_13578359_13578403,Posible,good_fit,3,True,0,full,9.431172967759666,9.959737399133019
79,G_13578340_13578436,Posible,good_fit,3,True,0,full,9.443332873784293,9.970237247367004
80,G_13578311_13578368,Posible,good_fit,3,True,0,full,9.329023958116764,9.923884801699106
81,G_13578483_13578509,Posible,good_fit,3,True,0,full,9.544136474282764,8.818668914958865
82,G_13578279_13578284,Posible,good_fit,3,True,0,full,9.855683294433181,7.961609050071003
83,G_13578288_13578336,Posible,good_fit,3,True,0,full,9.366940147005316,9.698127899450672
84,G_13578321_13578400,Posible,good_fit,3,True,0,partially incomplete,9.177235027876915,3.3468421456347515
87,G_13578294_13578332,Posible,good_fit,3,True,0,full,9.099123509601174,9.966300782034576
89,G_13578375_13578419,Posible,good_fit,3,True,0,partially incomplete,9.885384585998457,9.964174701313686
90,G_13578417_13578455,Posible,good_fit,3,True,0,full,9.397254372027811,9.986744934313178
91,G_13578397_13689863,Posible,good_fit,3,True,0,full,9.514824538647016,7.29386147075817
92,G_13578283_13578388,Posible,good_fit,3,True,0,full,9.892579390768661,8.231847415424282
97,G_13578330_13578382,Posible,good_fit,3,True,0,full,9.973187229174657,9.938548054022434
