,ID_VANO,RECONSTRUCCION,FLAG,NUM_CONDUCTORES,NUM_CONDUCTORES_FIABLE,CONFIG_CONDUCTORES,COMPLETITUD,PUNTUACION_APRIORI,PUNTUACION_APOSTERIORI
0,G_13578462_13689863,Posible,good_fit,3,True,0,full,9.237791894160281,
1,G_13576896_13576897,,bad_cond_number,0,False,None,None,-99.0,
2,G_13576773_13576897,,bad_cond_number,0,False,None,None,-99.0,
3,G_13576773_13576774,,bad_cond_number,0,False,None,None,-99.0,
4,G_13576907_13576908,,bad_cond_number,0,False,None,None,-99.0,
5,G_13578307_13578514,Posible,good_fit,3,False,0,partially incomplete,8.59060707398587,
6,G_13578498_13578512,Posible,good_fit,3,True,0,full,9.973676138310708,
7,G_13578435_13578450,Posible,good_fit,3,True,0,full,9.400094472716344,
8,G_13578338_13578340,Posible,good_fit,3,True,0,full,9.249081794743535,
9,G_13578470_13578521,Posible,good_fit,3,True,0,full,8.96047703725441,
10,G_13578475_13578503,Posible,good_fit,3,True,0,full,9.302740593985202,
11,G_13578475_13578516,Posible,good_fit,3,False,0,full,9.197658683100776,
12,G_13576793_13576873,Posible,good_fit,3,False,0,full,10.0,
13,G_13576748_13576812,,bad_cond_number,0,False,None,None,-99.0,
14,G_13576762_13576801,Posible,good_fit,3,False,0,full,10.0,
15,G_13576736_13576740,Posible,good_fit,3,False,0,full,10.0,
16,G_13578445_13578497,Posible,good_fit,3,True,0,full,9.882654941032579,
17,G_13578298_13578310,Posible,good_fit,3,True,0,full,9.890359529721804,
18,G_13578331_13578405,Posible,good_fit,3,True,0,full,9.788578179996627,
19,G_13576769_13576858,Posible,no_polilineas,3,True,1,partially incomplete,4.201640958067235,
20,G_13578278_13578317,Posible,good_fit,3,True,0,full,9.116193720155664,
21,G_13578309_13578415,Posible,good_fit,3,True,0,full,9.371275129534283,
22,G_13578299_13578463,Posible,good_fit,3,True,0,full,9.539704833022542,
23,G_13578374_13578463,Posible,found_empty_polis,3,True,0,full,10.0,
24,G_13578285_13578315,,empty_cloud,0,False,None,None,-99.0,
25,G_13576890_13576891,,bad_cond_number,0,False,None,None,-99.0,
26,G_13577128_13577129,,bad_cond_number,0,False,None,None,-99.0,
27,G_13578282_13578382,Posible,good_fit,3,True,0,partially incomplete,9.409137139243626,
28,G_13578407_13578444,Posible,good_fit,3,True,0,partially incomplete,8.710381461512554,
29,G_13578394_13578435,Posible,good_fit,3,True,0,full,9.362395200844855,
30,G_13578301_13578439,Posible,good_fit,3,True,0,partially incomplete,9.751986268111944,
31,G_13578311_13578407,Posible,found_empty_polis,3,True,0,partially incomplete,9.656590876562518,
32,G_13578376_13578412,Posible,good_fit,3,True,0,full,9.860026048963991,
33,G_13576740_13576792,,bad_cond_number,0,False,None,None,-99.0,
34,G_13578445_13578523,Posible,good_fit,3,True,0,full,9.220222467573064,
35,G_13578457_13578461,Posible,good_fit,3,True,0,full,9.123312613584178,
36,G_13578350_13578460,Posible,good_fit,3,True,0,full,9.872493190134303,
37,G_13578381_13578405,Posible,no_polilineas,3,True,0,partially incomplete,3.1876107648438405,
38,G_13578336_13578432,Posible,good_fit,3,True,0,full,9.12071378259127,
39,G_13578391_13578409,Posible,good_fit,3,True,0,partially incomplete,9.113862262749558,
40,G_13578400_13578433,Posible,good_fit,3,False,0,full,8.791116780186254,
41,G_13578317_13578332,Posible,good_fit,3,True,0,full,9.114933886691633,
42,G_13578374_13578375,Posible,good_fit,3,True,0,partially incomplete,9.906338699352489,
43,G_13577129_13577130,,bad_cond_number,0,False,None,None,-99.0,
44,G_13576792_13576854,,bad_cluster,4,False,1,partially incomplete,1.1162715967923211,
45,G_13578391_13578442,,empty_conductor,3,False,1,incomplete,-99.0,
46,G_13578334_13578477,Posible,good_fit,3,True,0,partially incomplete,7.596316776232873,
47,G_13578302_13578473,Posible,good_fit,3,True,0,full,9.358787037428359,
48,G_13578301_13578500,Posible,good_fit,3,True,0,full,9.395173348321288,
49,G_13576829_13576866,Posible,found_empty_polis,3,True,0,full,9.806881797687465,
50,G_13576786_13576866,Posible,good_fit,3,False,0,full,10.0,
51,G_13576786_13576844,,bad_cond_number,0,False,None,None,-99.0,
52,G_13576858_13576873,Posible,good_fit,3,False,0,full,10.0,
53,G_13578523_13578527,Posible,good_fit,3,True,0,full,8.984352747300415,
54,G_13578320_13578341,Posible,good_fit,3,True,0,partially incomplete,8.479975035829478,
55,G_13578387_13578433,Posible,good_fit,3,True,0,full,9.894391013320908,
56,G_13578309_13578348,Posible,good_fit,3,True,0,partially incomplete,9.975602235608203,
57,G_13578279_13578295,Posible,good_fit,3,True,0,full,9.849096145315176,
58,G_13528124_13528233,,bad_cond_number,0,False,None,None,-99.0,
59,G_13528004_13528458,,bad_cond_number,0,False,None,None,-99.0,
60,G_13578299_13578417,Posible,good_fit,3,True,0,full,9.251986601596059,
61,G_13578315_13578417,,empty_conductor,2,False,0,incomplete,0.2959742479592171,
62,G_13563638_13578462,Posible,good_fit,3,True,1,full,9.872807870210359,
63,G_13576774_13577127,,bad_cond_number,0,False,None,None,-99.0,
64,G_13578384_13578451,Posible,good_fit,3,True,0,full,9.316484290834778,
65,G_13578403_13578500,Posible,good_fit,3,True,0,full,9.413645317407008,
66,G_13578376_13578516,Posible,good_fit,3,True,0,full,9.322536975428676,
67,G_13576780_13576884,,bad_cond_number,0,False,None,None,-99.0,
68,G_13576736_13576851,,bad_cond_number,0,False,None,None,-99.0,
69,G_13578396_13578483,Posible,good_fit,3,True,1,full,9.76636893818262,
70,G_13578452_13578480,Posible,good_fit,3,True,0,full,8.94402317418961,
71,G_13578337_13578377,Posible,good_fit,3,True,0,full,9.287439758476884,
72,G_13578393_13578412,Posible,good_fit,3,True,0,full,9.270143123401526,
73,G_13578372_13578476,Posible,good_fit,3,True,0,full,9.051960572024765,
74,G_13578388_13578466,Posible,good_fit,3,True,0,full,9.287485983742025,
75,G_13576895_13576896,,bad_cond_number,0,False,None,None,-99.0,
76,G_13578431_13578442,Posible,good_fit,3,True,0,partially incomplete,7.496024791383125,
