,ID_VANO,RECONSTRUCCION,FLAG,NUM_CONDUCTORES,NUM_CONDUCTORES_FIABLE,CONFIG_CONDUCTORES,COMPLETITUD,PUNTUACION_APRIORI,PUNTUACION_APOSTERIORI
0,C_13411888_13411889,Posible,good_fit,3,True,0,full,9.476606550008146,9.835696619184711
1,C_13412048_13412052,Posible,good_fit,3,True,0,full,9.379436321578098,9.98922103929825
2,C_13412143_13412146,Posible,good_fit,3,True,0,full,9.851074033201787,9.989704831556947
3,C_13412119_13412124,Posible,good_fit,3,True,0,full,9.35963966368266,9.910382825899097
4,C_13412096_13412097,Posible,good_fit,3,True,0,full,9.352864588963952,9.98918258579352
5,C_13412120_13412145,Posible,good_fit,3,True,0,full,9.39015527948479,9.783958104606837
6,C_13412145_13412146,Posible,good_fit,3,True,0,full,9.358971889637903,9.988576617667851
7,C_13412137_13412138,Posible,found_empty_polis,3,True,0,full,9.305572004020718,9.934347695734107
8,C_13411659_13412137,Posible,good_fit,3,True,0,partially incomplete,9.288523401172057,9.78495890129184
9,C_13411827_13411828,Posible,good_fit,3,False,0,full,9.439590820101602,9.940841343530694
10,C_13411767_13411770,Posible,good_fit,3,True,0,full,9.352999577173636,9.672503487052673
11,C_13411771_13411773,Posible,good_fit,3,False,0,full,9.810397323486944,9.811305828098256
12,C_13434443_13434444,Posible,good_fit,3,True,0,full,9.72795204038783,9.948143250935933
13,C_13411820_13411826,Posible,good_fit,3,True,0,full,9.297474900784458,9.972829791796496
14,C_13412048_13412050,Posible,good_fit,3,True,0,partially incomplete,9.373155316385514,9.979848387765214
15,C_13411817_13412066,Posible,good_fit,3,True,0,full,9.30819614323194,9.93231338688804
16,C_13412141_13412144,Posible,good_fit,3,True,0,full,9.73402901954703,9.987651438731831
17,C_13412139_13412140,Posible,good_fit,3,True,0,partially incomplete,9.31062117963477,9.9244254583599
18,C_13412118_13412119,Posible,good_fit,3,True,0,partially incomplete,9.340477966660279,9.895646908734998
19,C_13412147_13412148,Posible,good_fit,3,True,0,full,9.806908500087673,9.97222900829591
20,C_13411720_13411728,Posible,good_fit,3,True,0,partially incomplete,9.927419277343882,9.929807169008813
21,C_13412045_13412068,Posible,good_fit,3,True,1,full,9.517303473086953,8.095851146411256
22,C_13412039_13412045,Posible,good_fit,3,True,0,full,9.970219088458476,9.483798339729393
23,C_13434462_13434463,Posible,good_fit,3,True,0,partially incomplete,9.36753986583234,9.969595076716216
24,C_13434453_13434454,Posible,good_fit,3,True,0,full,9.301415067060649,9.929384736239335
25,C_13434481_13434482,Posible,good_fit,3,True,0,full,9.234227013744285,9.84681945365931
26,C_13434459_13434460,Posible,good_fit,3,True,0,partially incomplete,9.343719234729083,9.985862997498701
27,C_13434452_13434453,Posible,good_fit,3,True,0,full,9.375337013229698,9.777395846114239
28,C_13412077_13412085,Posible,good_fit,3,True,0,full,9.27974465012198,9.881436016104171
29,C_13411890_13411891,Posible,good_fit,3,True,0,full,-99.0,9.956013552654811
30,C_13411884_13411885,Posible,good_fit,3,True,0,full,9.963070534213578,9.872140920096324
31,C_13411817_13411822,Posible,good_fit,3,True,0,partially incomplete,9.310167392274913,9.973246158892968
32,C_13412141_13412142,Posible,good_fit,3,True,0,full,9.285663536685352,9.979926503747766
33,C_13412097_13412098,Posible,good_fit,3,True,0,full,9.28596768877047,9.916264016702677
34,C_13412121_13412127,Posible,good_fit,3,True,0,full,9.387955927728338,9.796396848283578
35,C_13412118_13412120,Posible,good_fit,3,True,0,partially incomplete,9.349970229186347,9.82593638323592
36,C_13412115_13412133,Posible,good_fit,3,True,0,full,9.51008093643102,9.88987616996055
37,C_13412147_13412149,Posible,good_fit,3,True,0,full,9.434753904870854,9.960800821344616
38,C_13412116_13412149,Posible,good_fit,3,True,0,full,9.512067275343048,9.90512571220727
39,C_13412114_13412117,Posible,good_fit,3,True,0,full,9.60856756874474,9.980461742319143
40,C_13411729_13411832,,bad_backings,0,False,None,None,-99.0,-99.0
41,C_13411725_13411730,Posible,good_fit,3,True,0,full,-99.0,9.930240904397778
42,C_13411774_13411775,Posible,good_fit,3,True,0,full,9.965617888694663,9.987965917116876
43,C_13412035_13412041,Posible,good_fit,3,True,0,partially incomplete,9.305262751852057,9.664724150674038
44,C_13412035_13421440,Posible,good_fit,3,True,0,full,9.950522384963264,9.781026381236437
45,C_13434460_13434462,Posible,good_fit,3,True,0,full,9.364319663658131,9.861314557251573
46,C_13434456_13434457,Posible,good_fit,3,True,0,full,9.365990652093295,9.920539712304047
47,C_13434440_13434441,Posible,good_fit,3,True,0,full,9.38764729583853,9.922296661621704
48,C_13434482_13434483,Posible,good_fit,3,True,0,full,9.73051470938593,9.984884727693196
49,C_13434441_13434442,Posible,good_fit,3,True,0,full,9.25581077619098,9.909321099183192
50,C_13412099_13412101,Posible,good_fit,3,True,0,partially incomplete,9.887604388734363,9.987917520868164
