,ID_VANO,RECONSTRUCCION,FLAG,NUM_CONDUCTORES,NUM_CONDUCTORES_FIABLE,CONFIG_CONDUCTORES,COMPLETITUD,PUNTUACION_APRIORI,PUNTUACION_APOSTERIORI
0,C_13411888_13411889,Posible,good_fit,3,True,0,full,9.42660171835443,
1,C_13412048_13412052,Posible,good_fit,3,True,0,full,9.313778392648315,
2,C_13412143_13412146,Posible,good_fit,3,True,0,full,9.851074033201787,
3,C_13412119_13412124,Posible,good_fit,3,True,0,full,9.29258754653076,
4,C_13412096_13412097,Posible,good_fit,3,True,0,full,9.285459592338015,
5,C_13412120_13412145,Posible,good_fit,3,True,0,full,9.324492781500165,
6,C_13412145_13412146,Posible,good_fit,3,True,0,full,9.291496120515294,
7,C_13412137_13412138,Posible,found_empty_polis,3,True,0,full,9.235284326127097,
8,C_13411659_13412137,Posible,good_fit,3,True,0,partially incomplete,9.213573523064913,
9,C_13411827_13411828,Posible,good_fit,3,False,0,full,9.386263077892957,
10,C_13411767_13411770,Posible,good_fit,3,True,0,full,9.294668948917666,
11,C_13411771_13411773,Posible,good_fit,3,False,0,full,9.810397323486944,
12,C_13434443_13434444,Posible,good_fit,3,True,0,full,9.704286382388121,
13,C_13411820_13411826,Posible,good_fit,3,True,0,full,9.22609729131555,
14,C_13412048_13412050,Posible,good_fit,3,True,0,partially incomplete,9.306442398011571,
15,C_13411817_13412066,Posible,good_fit,3,True,0,full,9.234770834010867,
16,C_13412141_13412144,Posible,good_fit,3,True,0,full,9.710017761465647,
17,C_13412139_13412140,Posible,good_fit,3,True,0,partially incomplete,9.239295225604275,
18,C_13412118_13412119,Posible,good_fit,3,True,0,partially incomplete,9.273876850407563,
19,C_13412147_13412148,Posible,good_fit,3,True,0,full,9.787322223575591,
20,C_13411720_13411728,Posible,good_fit,3,True,0,partially incomplete,9.927419277343882,
21,C_13412045_13412068,Posible,good_fit,3,True,1,full,9.465929494797754,
22,C_13412039_13412045,Posible,good_fit,3,True,0,full,9.970219088458476,
23,C_13434462_13434463,Posible,good_fit,3,True,0,partially incomplete,9.310388651364136,
24,C_13434453_13434454,Posible,good_fit,3,True,0,full,9.230268268614898,
25,C_13434481_13434482,Posible,good_fit,3,True,0,full,9.157811517711886,
26,C_13434459_13434460,Posible,good_fit,3,True,0,partially incomplete,9.275335740117887,
27,C_13434452_13434453,Posible,good_fit,3,True,0,full,9.310022424886672,
28,C_13412077_13412085,Posible,good_fit,3,True,0,full,9.202915427558034,
29,C_13411890_13411891,Posible,bad_backings,3,True,0,full,-99.0,
30,C_13411884_13411885,Posible,good_fit,3,True,0,full,9.963070534213578,
31,C_13411817_13411822,Posible,good_fit,3,True,0,partially incomplete,9.238797906472898,
32,C_13412141_13412142,Posible,good_fit,3,True,0,full,9.208519982593414,
33,C_13412097_13412098,Posible,good_fit,3,True,0,full,9.214834500463306,
34,C_13412121_13412127,Posible,good_fit,3,True,0,full,9.32547747152013,
35,C_13412118_13412120,Posible,good_fit,3,True,0,partially incomplete,9.283281998822007,
36,C_13412115_13412133,Posible,good_fit,3,True,0,full,9.457217175156629,
37,C_13412147_13412149,Posible,good_fit,3,True,0,full,9.373407231113728,
38,C_13412116_13412149,Posible,good_fit,3,True,0,full,9.459234185391896,
39,C_13412114_13412117,Posible,good_fit,3,True,0,full,9.566818045306878,
40,C_13411729_13411832,,bad_backings,0,False,None,None,-99.0,
41,C_13411725_13411730,Posible,bad_backings,3,True,0,full,-99.0,
42,C_13411774_13411775,Posible,good_fit,3,True,0,full,9.965617888694663,
43,C_13412035_13412041,Posible,good_fit,3,True,0,partially incomplete,9.230188290446534,
44,C_13412035_13421440,Posible,good_fit,3,True,0,full,9.950522384963264,
45,C_13434460_13434462,Posible,good_fit,3,True,0,full,9.30216463982901,
46,C_13434456_13434457,Posible,good_fit,3,True,0,full,9.303896201436874,
47,C_13434440_13434441,Posible,good_fit,3,True,0,full,9.323846301279893,
48,C_13434482_13434483,Posible,good_fit,3,True,0,full,9.70484316043948,
49,C_13434441_13434442,Posible,good_fit,3,True,0,full,9.179154206134196,
