,ID_VANO,RECONSTRUCCION,FLAG,NUM_CONDUCTORES,NUM_CONDUCTORES_FIABLE,CONFIG_CONDUCTORES,COMPLETITUD,PUNTUACION_APRIORI,PUNTUACION_APOSTERIORI
0,G_13645821_13645987,Posible,good_fit,3,True,0,full,9.505852469243871,9.976925468171542
1,G_13645776_13645990,,bad_cond_number,0,False,None,None,-99.0,-99.0
2,G_13645684_13645777,Posible,good_fit,3,True,0,full,9.452697709283775,9.980230944419612
3,G_13615863_13645824,Posible,good_fit,3,True,0,full,9.928824574827761,8.271822014766432
4,G_13645732_13645823,Posible,good_fit,3,True,0,full,9.38461021494808,9.316102871950736
5,G_13499432_13645947,,bad_cluster,3,False,0,full,10.521107185243073,-99.0
6,G_13645686_13645952,Posible,good_fit,3,True,0,full,9.494657699589323,9.85459326565943
7,G_13037116_13511437,,bad_cluster,3,False,0,partially incomplete,0.8107711439900459,-99.0
8,G_13618881_13645690,Posible,found_empty_polis,3,True,0,full,9.208887181046721,8.583634258348953
9,G_13645790_13645962,Posible,found_empty_polis,3,True,0,full,8.621306472911405,9.964659118621043
10,G_13645744_13645920,Posible,good_fit,3,True,0,full,9.342528939790395,9.980178623149936
11,G_13645844_13645888,Posible,good_fit,3,True,0,full,9.504135719036066,9.929010603816804
12,G_13645647_13645791,Posible,good_fit,3,True,0,full,9.485521595550805,9.98814477565245
13,G_13645750_13645842,Posible,good_fit,3,True,0,full,9.225464744785247,9.968825740560003
14,G_13645707_13645750,,bad_cond_number,0,False,None,None,-99.0,-99.0
15,G_13645718_13645899,Posible,good_fit,3,True,0,full,9.939170311537037,9.75778414092181
16,G_13645765_13645809,Posible,good_fit,3,True,0,full,9.743386370673615,9.987823857416107
17,G_13645665_13645719,Posible,good_fit,3,True,0,full,9.220089890331707,9.989841990758485
18,G_13088932_13645854,Posible,good_fit,3,True,0,full,9.400790701913929,9.946276137902888
19,G_13145989_13645938,Posible,good_fit,3,True,0,full,9.388032150634304,9.653842366097873
20,G_13645721_13645813,Posible,good_fit,3,True,0,full,9.913610412202583,9.989093530279835
21,G_13645767_13645812,Posible,good_fit,3,True,0,full,9.945743692744658,9.985861077299479
22,G_13645817_13645977,Posible,good_fit,3,True,0,full,9.387438050022183,9.82873037626588
23,G_13645668_13645817,Posible,found_empty_polis,3,True,0,full,9.589693586997075,9.98950931904723
24,G_13645771_13645980,Posible,good_fit,3,True,0,full,8.87240232199327,9.901001286852937
25,G_13645819_13645906,Posible,good_fit,3,True,0,full,9.924685616745537,9.92953073846002
26,G_13645819_13645981,Posible,good_fit,3,True,0,full,9.348066776989551,9.94500144958359
27,G_13645981_13645982,Posible,good_fit,3,True,0,full,9.559044993778087,9.939434416274711
28,G_13645776_13645989,Posible,good_fit,3,True,0,full,9.950626952872433,9.875242502773538
29,G_13645683_13645951,Posible,good_fit,3,True,0,full,9.579415669173102,9.974009610183895
30,G_13645681_13645867,Posible,good_fit,3,True,0,full,9.313748650205774,9.988788480992467
31,G_13645733_13645868,Posible,good_fit,3,True,0,full,9.396341607906109,9.83636569573004
32,G_13645738_13645781,Posible,good_fit,3,True,0,full,9.022192626881669,9.961310690444176
33,G_13645687_13645874,Posible,good_fit,3,True,0,full,9.5838356492955,9.989635494376271
34,G_13645737_13645873,Posible,good_fit,3,True,0,partially incomplete,9.302241894036621,9.834254316807574
35,G_13511437_13511438,Posible,good_fit,3,True,0,full,9.252944249718084,9.964907986847304
36,G_13645910_13645956,Posible,good_fit,3,True,0,full,9.164988125852222,8.562995311062101
37,G_13645695_13645696,Posible,good_fit,3,True,0,full,9.518766621299664,9.975325277988121
38,G_13597802_13645916,Posible,good_fit,3,True,0,full,9.378535579148974,9.989597322818936
39,G_13645947_13645992,,bad_cond_number,0,False,None,None,-99.0,-99.0
40,G_13645661_13645713,,bad_backings,0,False,None,None,-99.0,-99.0
41,G_13645798_13645842,Posible,good_fit,3,True,0,full,9.264332654660567,9.982389900037713
42,G_13645720_13645855,Posible,good_fit,3,True,0,partially incomplete,9.235174797300516,9.944176325150059
43,G_13645809_13645810,Posible,good_fit,3,True,0,full,9.960498930385773,9.885804798957938
44,G_13645722_13645939,Posible,good_fit,3,True,0,full,9.497423783944061,9.986735921160948
45,G_13645816_13645900,Posible,good_fit,3,True,0,full,9.245351144201269,9.832390491180638
46,G_13645772_13645944,Posible,good_fit,3,True,0,full,9.68306111260415,9.961311236319734
47,G_13645821_13645862,Posible,no_polilineas,3,False,1,partially incomplete,1.156008823849159,6.940974172793039
48,G_13645727_13645822,Posible,good_fit,3,True,0,full,9.974280854633355,9.898515323164652
49,G_13645683_13645684,Posible,good_fit,3,True,0,full,9.16803913146856,9.989636681702173
50,G_13645947_13645993,Posible,good_fit,3,True,0,full,9.59314346728721,9.8994701738376
51,G_13645909_13645950,Posible,found_empty_polis,3,True,0,full,9.233912664394863,9.96366218549793
52,G_13645688_13645781,Posible,good_fit,3,True,0,full,9.541170012550804,9.947091540364891
53,G_13037123_13645874,Posible,good_fit,3,True,0,full,9.318000890279547,9.989719470339175
54,G_13645954_13645956,Posible,good_fit,3,True,0,full,9.441365919339457,7.447252270830961
55,G_13645954_13645996,Posible,good_fit,3,True,0,full,9.945180945487149,9.546517679617448
56,G_13645875_13645996,Posible,good_fit,3,True,0,full,4.1663551801557395,9.973174085023164
57,G_13645641_13645642,Posible,good_fit,3,True,0,full,9.93496268595148,9.961799078606928
58,G_13645696_13645697,Posible,good_fit,3,True,0,full,9.338717663128648,9.97682542956758
59,G_13645862_13645986,Posible,good_fit,3,True,0,partially incomplete,3.973029172983911,9.975117730855644
60,G_13645872_13645952,Posible,good_fit,3,True,0,full,9.028353200370006,9.979275557464272
61,G_13645712_13645761,,bad_backings,0,False,None,None,-99.0,-99.0
62,G_13645752_13645888,Posible,good_fit,3,True,0,full,9.566520566720211,9.954993007591643
63,G_13645843_13645927,Posible,good_fit,3,True,0,full,9.061076163466552,9.747341108236796
64,G_13645899_13645974,Posible,good_fit,3,True,0,full,9.491748697290443,9.951050942284748
65,G_13645799_13645843,Posible,good_fit,3,True,0,full,9.145403925690927,9.893401448867294
66,G_13645767_13645813,Posible,good_fit,3,True,0,full,9.402701051222683,9.988218411797767
67,G_13088936_13645722,Posible,good_fit,3,True,0,full,9.126136663866319,9.987541010899463
68,G_13645943_13645980,Posible,good_fit,3,True,0,full,9.437228363432295,9.930890636806694
69,G_13088932_13149467,Posible,found_empty_polis,3,True,0,partially incomplete,5.322895882537495,9.760354833312945
70,G_13645727_13645987,Posible,good_fit,3,True,0,full,9.409010760148114,9.918167488781787
71,G_13645681_13645775,Posible,good_fit,3,True,0,full,9.095536558582452,9.809681267517167
72,G_13645681_13645990,,empty_conductor,4,False,0,incomplete,0.21456540547869357,-99.0
73,G_13645731_13645989,Posible,good_fit,3,True,0,full,9.746893043779316,9.988392141536085
74,G_13037116_13645688,Posible,good_fit,3,True,0,full,9.074345747440747,9.799972583086149
75,G_13645873_13645953,Posible,good_fit,3,True,0,full,9.473842932238272,9.663203097550308
76,G_13645686_13645953,Posible,good_fit,3,True,0,full,9.085451882870192,9.77864349484673
77,G_13037116_13645875,Posible,found_empty_polis,3,True,0,full,9.949040465187379,9.96066465543359
78,G_13645645_13645918,Posible,found_empty_polis,3,True,0,partially incomplete,7.38692612586093,9.989024955955392
79,G_13645698_13645741,Posible,good_fit,3,True,0,full,9.948316138875736,9.938436873908632
80,G_13645642_13645643,Posible,good_fit,3,True,0,full,9.694688325845123,9.98781713894132
81,G_13597802_13645695,Posible,good_fit,3,True,0,full,9.621017932380557,9.975314495846035
82,G_13645789_13645916,Posible,good_fit,3,True,0,full,9.049657778875316,9.80223992988642
83,G_13645645_13645961,Posible,good_fit,3,True,0,full,9.381921598030846,9.989453835212892
84,G_13645844_13645845,Posible,good_fit,3,True,0,full,9.495769935483368,9.929709887092182
85,G_13645799_13645970,Posible,good_fit,3,True,0,full,9.325773419663246,9.97126217776998
86,G_13149467_13645937,Posible,good_fit,3,True,0,full,9.884192631377056,9.989067710376101
87,G_13088936_13645811,Posible,good_fit,3,True,0,full,9.161319307512926,9.98425233961476
88,G_13645666_13645855,Posible,good_fit,3,True,0,full,9.857879754384468,9.989066829206621
89,G_13645719_13645765,Posible,good_fit,3,True,0,full,9.421348862663846,9.989774132198015
90,G_13645845_13645928,Posible,good_fit,3,True,0,partially incomplete,9.518829145057609,9.988691674685132
91,G_13645821_13645984,Posible,good_fit,3,True,0,full,9.616403718786438,9.972982450565972
92,G_13645678_13645861,Posible,good_fit,3,True,0,full,9.96053161609759,9.964449827616077
93,G_13645861_13645983,Posible,good_fit,3,True,0,full,9.966220553395104,9.967618338659314
94,G_13645946_13645983,Posible,good_fit,3,True,0,full,9.549057348172159,9.857933524643887
95,G_13645679_13645985,,bad_cond_number,0,False,None,None,-99.0,-99.0
96,G_13645824_13645991,Posible,good_fit,3,True,0,full,9.398041524581362,9.768044205953649
97,G_13645948_13645993,Posible,good_fit,3,True,0,full,9.954390388932328,9.870860349788789
98,G_13645869_13645870,Posible,good_fit,3,True,0,full,9.869934118012281,9.853155610053271
99,G_13645829_13645911,Posible,good_fit,3,True,0,full,9.154364022770743,9.989146293250833
100,G_13645739_13645998,Posible,good_fit,3,True,0,full,-99.0,9.922040600509874
101,G_13645742_13645961,Posible,good_fit,3,True,0,full,9.642321726928126,9.968262715198756
102,G_13645713_13645897,Posible,good_fit,3,True,0,full,9.88333611687521,9.814735119088706
103,G_13645712_13645897,Posible,good_fit,3,True,0,full,9.149163125808098,9.810241136303556
104,G_13645752_13645927,Posible,found_empty_polis,3,True,0,full,9.477828881142727,9.985465784762031
105,G_13088932_13645974,Posible,good_fit,3,True,0,full,9.088750398433167,9.982770834333937
106,G_13645666_13645811,Posible,good_fit,3,True,0,partially incomplete,6.861568008734131,9.986815620664851
107,G_13645720_13645976,Posible,good_fit,3,False,0,partially incomplete,3.6943013300002754,9.90539240367331
108,G_13088936_13145989,Posible,no_polilineas,3,False,0,partially incomplete,2.4629883056421575,7.4466244683589995
109,G_13645674_13645942,Posible,good_fit,3,True,0,full,9.310174519553001,9.893167523281733
110,G_13645905_13645979,Posible,good_fit,3,True,0,full,9.389137293231965,9.93714181624954
111,G_92006814_92006815,Posible,no_polilineas,3,False,1,partially incomplete,2.2320457588328035,7.438052378431212
112,G_13645946_13645982,Posible,found_empty_polis,3,True,0,partially incomplete,6.3352337263525955,9.697344551330659
113,G_13645907_13645946,Posible,found_empty_polis,3,True,0,partially incomplete,9.833393560104719,9.527706696252245
114,G_13645678_13645984,Posible,good_fit,3,True,0,full,9.53954218564234,9.958388987849242
115,G_13645680_13645988,Posible,good_fit,3,True,0,full,9.446917260529615,9.942981198968964
116,G_13618881_13645911,Posible,found_empty_polis,3,True,0,partially incomplete,10.016324858180784,9.858903039956445
117,G_13645910_13645997,Posible,good_fit,3,True,0,full,9.138405514839013,9.529664982528894
118,G_13510615_13645645,Posible,found_empty_polis,3,True,0,full,9.29954415996927,9.287190805264299
119,G_13645790_13645920,Posible,good_fit,3,True,0,full,9.298052316926888,9.794851514732692
120,G_13645665_13645854,Posible,good_fit,3,True,0,full,9.128740602943225,9.978896364623191
121,G_13645772_13645943,Posible,good_fit,3,True,0,full,9.188341534873546,9.753902613405463
122,G_13645726_13645859,Posible,good_fit,3,True,0,full,9.374581960603283,9.886506513875828
123,G_13645985_13645986,Posible,good_fit,3,True,0,full,9.910816860056721,9.75412761286249
124,G_13615863_13645823,Posible,good_fit,3,True,0,full,9.29853233443287,9.239288358362256
125,G_13645682_13645732,Posible,good_fit,3,True,0,full,9.860739397813767,9.886628683250251
126,G_13645682_13645867,Posible,good_fit,3,True,0,full,9.901512126722011,9.989376993798572
127,G_13645733_13645992,Posible,good_fit,3,True,0,full,9.393905992872437,9.886126890587553
128,G_13645734_13645826,Posible,good_fit,3,True,0,full,9.843059894964535,9.959115703436172
129,G_13037116_13645737,Posible,no_polilineas,3,True,0,partially incomplete,2.5907082016079697,3.47100477628893
130,G_13645739_13645997,Posible,good_fit,3,True,0,full,9.388746171978685,9.98600778190696
131,G_13645843_13645881,Posible,found_empty_polis,3,True,0,partially incomplete,5.778402910029201,9.987386610993546
132,G_13645791_13645881,Posible,good_fit,3,True,0,full,9.556709344251162,9.955290251973118
133,G_13645707_13645970,Posible,good_fit,3,True,0,full,9.931770084579753,9.894710796736137
134,G_13645717_13645718,Posible,good_fit,3,True,0,full,9.906368268571054,9.986474748081545
135,G_13149469_13645937,Posible,good_fit,3,True,0,full,9.734172824598813,9.989043482093791
136,G_13645810_13645975,Posible,good_fit,3,True,0,full,9.917005716855355,9.89086074021719
137,G_13645721_13645938,Posible,good_fit,3,True,0,full,9.515587180992934,9.95031437932946
138,G_13645668_13645900,Posible,good_fit,3,True,0,full,9.197110585226632,9.596958524212074
139,G_13645675_13645946,Posible,found_empty_polis,3,True,0,full,9.526721450868628,9.881036695744115
140,G_13645771_13645942,Posible,good_fit,3,True,0,full,9.557270160684062,9.95066161058472
141,G_13645674_13645979,Posible,good_fit,3,True,0,full,9.428978712899879,9.923358361928845
142,G_13645859_13645906,Posible,good_fit,3,True,0,full,9.869620882863764,9.851370135190944
143,G_13645641_13645960,Posible,good_fit,3,True,0,full,9.10745146762358,9.786664796273879
144,G_13645680_13645822,Posible,good_fit,3,True,0,full,9.943818861993512,9.947135502299927
145,G_13645777_13645991,Posible,good_fit,3,True,0,full,9.419622293345256,9.921953332586105
146,G_13037347_13645948,Posible,good_fit,3,True,0,full,9.951557641202463,9.778975279803213
147,G_13645870_13645950,Posible,good_fit,3,True,0,full,9.519554638600464,9.947717120500998
148,G_13645871_13645951,Posible,no_polilineas,3,True,1,full,0.06597144525499085,8.690358812153736
149,G_13645871_13645909,Posible,found_empty_polis,3,True,0,full,9.237035667382798,9.941891974780264
150,G_13645738_13645995,Posible,good_fit,3,True,1,full,9.068353833665228,9.847226726773817
151,G_13645687_13645995,Posible,good_fit,3,True,0,full,9.828633552863156,9.989310827643678
152,G_13037123_13645951,Posible,found_empty_polis,3,True,0,full,10.577993550232344,9.892889460494741
153,G_13645644_13645918,,bad_cond_number,0,False,None,None,-99.0,-99.0
154,G_13510615_13645698,Posible,good_fit,3,True,0,full,9.396125047619647,9.935924993203432
155,G_13645643_13645741,Posible,good_fit,3,True,0,full,9.487508162153572,9.953651865414177
156,G_13645697_13645960,Posible,good_fit,3,True,0,full,9.413321912172147,9.989030836010846
157,G_13645742_13645962,Posible,good_fit,3,True,0,full,9.454736739486329,9.937487358965537
158,G_13645826_13645909,Posible,found_empty_polis,3,True,0,partially incomplete,8.975168130567582,9.930396107936861
159,G_13645647_13645790,Posible,good_fit,3,True,0,full,9.870855571645063,9.983104436219723
160,G_13645975_13645976,Posible,good_fit,3,True,0,full,9.342115155896689,9.449578258598601
161,G_13645856_13645977,Posible,good_fit,3,True,0,full,9.945862993864212,9.985406150022214
162,G_13645800_13645927,,bad_cluster,2,False,0,partially incomplete,1.450596224624686,-99.0
